"Obs","doby","male","raceeth","lifetime_earn","slifetime_earn","weight"
"706",1936,0,1,555244.72,1728664.57,2.50983
"708",1936,0,1,555244.72,1728664.57,2.50983
"709",1936,0,1,0.00,356224.40,2.50983
"712",1936,0,3,246901.61,2046244.09,2.50983
"713",1936,0,1,206288.31,3386289.52,2.50983
"714",1936,0,1,206288.31,3386289.52,2.50983
"728",1936,0,1,100296.68,2824508.66,2.50983
"730",1936,0,1,1644190.93,2780042.64,2.50983
"732",1936,0,1,1644190.93,2780042.64,2.50983
"733",1936,0,1,191314.89,1820221.15,2.50983
"734",1936,0,1,191314.89,1820221.15,2.50983
"737",1936,0,1,713155.42,1777673.09,2.50983
"738",1936,0,1,206288.31,1850740.01,2.50983
"744",1936,0,3,2456.31,958526.04,2.50983
"746",1936,0,3,525853.07,2686778.42,2.50983
"749",1936,0,3,525853.07,0.00,2.50983
"750",1936,0,3,51675.12,1925657.59,2.50983
"1527",1937,0,1,204765.48,2158334.45,2.46703
"1528",1937,0,1,761852.68,3017682.60,2.46703
"1529",1937,0,1,761852.68,2945608.30,2.46703
"1530",1937,0,2,682232.78,2597223.91,2.46703
"1531",1937,0,2,682232.78,1206268.85,2.46703
"1532",1937,0,2,1073451.25,842439.97,2.46703
"1539",1937,0,1,404240.29,1168195.99,2.46703
"1540",1937,0,1,404240.29,1408485.74,2.46703
"1541",1937,0,1,0.00,635445.05,2.46703
"1545",1937,0,1,81327.54,756208.21,2.46703
"1546",1937,0,1,199020.31,1669687.80,2.46703
"1553",1937,0,1,0.00,1083217.62,2.46703
"1554",1937,0,1,399588.44,1436119.27,2.46703
"1555",1937,0,3,617106.81,3280070.77,2.46703
"1557",1937,0,1,617106.81,2591512.14,2.46703
"1558",1937,0,1,617106.81,2591512.14,2.46703
"1560",1937,0,1,237581.08,2618026.87,2.46703
"1561",1937,0,1,100296.68,0.00,2.46703
"1562",1937,0,4,207297.75,390301.55,2.46703
"1563",1937,0,1,915725.61,3058960.46,2.46703
"1569",1937,0,1,684419.91,833346.56,2.46703
"1570",1937,0,1,684419.91,1036244.82,2.46703
"1571",1937,0,4,40680.60,182675.73,2.46703
"1572",1937,0,4,40680.60,182675.73,2.46703
"1584",1937,0,1,0.00,0.00,2.46703
